TIME,LATITUDE,LONGITUDE,RAINFALL,MAX_TEMP
2024-11-10,20.5,85.5,0.0,31.114347
2024-11-10,20.5,86.5,0.0,31.188026
2024-11-10,20.5,87.5,,
2024-11-10,21.5,81.5,0.0,30.449026
2024-11-10,21.5,82.5,0.0,30.564175
2024-11-10,21.5,83.5,0.0,30.651695
2024-11-10,21.5,84.5,0.0,30.860523
2024-11-10,21.5,85.5,0.0,31.354593
2024-11-10,21.5,86.5,0.0,31.244308
2024-11-10,21.5,87.5,,30.935625
2024-11-10,22.5,81.5,0.0,30.089863
2024-11-10,22.5,82.5,0.0,30.452972
2024-11-10,22.5,83.5,0.0,29.944307
2024-11-10,22.5,84.5,0.0,30.415316
2024-11-10,22.5,85.5,0.0,31.031195
2024-11-10,22.5,86.5,0.0,30.684484
2024-11-10,22.5,87.5,0.0,30.743145
2024-11-11,17.5,81.5,0.0,31.121449
2024-11-11,17.5,82.5,0.0,30.83937
2024-11-11,17.5,83.5,,30.644356
2024-11-11,17.5,84.5,,
2024-11-11,17.5,85.5,,
2024-11-11,17.5,86.5,,
2024-11-11,17.5,87.5,,
2024-11-11,18.5,81.5,0.0,31.298891
2024-11-11,18.5,82.5,0.0,30.512075
2024-11-11,18.5,83.5,0.0,30.307377
2024-11-11,18.5,84.5,,30.730865
2024-11-11,18.5,85.5,,
2024-11-11,18.5,86.5,,
2024-11-11,18.5,87.5,,
2024-11-11,19.5,81.5,0.0,31.140667
2024-11-11,19.5,82.5,0.0,30.12231
2024-11-11,19.5,83.5,0.0,30.605236
2024-11-11,19.5,84.5,0.0,30.66128
2024-11-11,19.5,85.5,,30.485199
2024-11-11,19.5,86.5,,
2024-11-11,19.5,87.5,,
2024-11-11,20.5,81.5,0.0,30.592846
2024-11-11,20.5,82.5,0.0,31.124172
2024-11-11,20.5,83.5,0.0,30.855726
2024-11-11,20.5,84.5,0.0,30.708113
2024-11-11,20.5,85.5,0.0,30.450666
2024-11-11,20.5,86.5,0.0,30.464321
2024-11-11,20.5,87.5,,
2024-11-11,21.5,81.5,0.0,31.188274
2024-11-11,21.5,82.5,0.0,31.31183
2024-11-11,21.5,83.5,0.0,30.521395
2024-11-11,21.5,84.5,0.0,30.47428
2024-11-11,21.5,85.5,0.0,30.621807
2024-11-11,21.5,86.5,0.0,30.523222
2024-11-11,21.5,87.5,,30.409082
2024-11-11,22.5,81.5,0.0,30.619429
2024-11-11,22.5,82.5,0.0,30.535717
2024-11-11,22.5,83.5,0.0,30.261234
2024-11-11,22.5,84.5,0.0,30.599348
2024-11-11,22.5,85.5,0.0,30.83703
2024-11-11,22.5,86.5,0.0,30.518066
2024-11-11,22.5,87.5,0.0,30.442167
2024-11-12,17.5,81.5,0.0,30.080076
2024-11-12,17.5,82.5,0.0,30.252037
2024-11-12,17.5,83.5,,30.427229
2024-11-12,17.5,84.5,,
2024-11-12,17.5,85.5,,
2024-11-12,17.5,86.5,,
2024-11-12,17.5,87.5,,
2024-11-12,18.5,81.5,0.0,30.64892
2024-11-12,18.5,82.5,0.0,30.226612
2024-11-12,18.5,83.5,0.0,30.409208
2024-11-12,18.5,84.5,,31.115322
2024-11-12,18.5,85.5,,
2024-11-12,18.5,86.5,,
2024-11-12,18.5,87.5,,
2024-11-12,19.5,81.5,0.0,30.782045
2024-11-12,19.5,82.5,0.0,30.336304
2024-11-12,19.5,83.5,0.0,31.012264
2024-11-12,19.5,84.5,0.0,31.09051
2024-11-12,19.5,85.5,,30.875002
2024-11-12,19.5,86.5,,
2024-11-12,19.5,87.5,,
2024-11-12,20.5,81.5,0.0,30.482151
2024-11-12,20.5,82.5,0.0,31.221157
2024-11-12,20.5,83.5,0.0,31.26152
2024-11-12,20.5,84.5,0.0,31.10102
2024-11-12,20.5,85.5,0.0,30.753376
2024-11-12,20.5,86.5,0.23888944,30.585985
2024-11-12,20.5,87.5,,
2024-11-12,21.5,81.5,0.0,31.147182
2024-11-12,21.5,82.5,0.0,31.329506
2024-11-12,21.5,83.5,0.0,31.001495
2024-11-12,21.5,84.5,0.0,30.997643
2024-11-12,21.5,85.5,0.0,30.827917
2024-11-12,21.5,86.5,0.0,30.530048
2024-11-12,21.5,87.5,,30.041313
2024-11-12,22.5,81.5,0.0,30.725636
2024-11-12,22.5,82.5,0.0,30.870598
2024-11-12,22.5,83.5,0.0,30.585232
2024-11-12,22.5,84.5,0.0,30.56204
2024-11-12,22.5,85.5,0.0,30.708357
2024-11-12,22.5,86.5,0.0,29.71784
2024-11-12,22.5,87.5,0.0,29.550816
2024-11-13,17.5,81.5,0.0,31.210741
2024-11-13,17.5,82.5,0.0,31.28584
2024-11-13,17.5,83.5,,31.102482
2024-11-13,17.5,84.5,,
2024-11-13,17.5,85.5,,
2024-11-13,17.5,86.5,,
2024-11-13,17.5,87.5,,
2024-11-13,18.5,81.5,0.0,31.427729
2024-11-13,18.5,82.5,0.0,30.971157
2024-11-13,18.5,83.5,0.0,30.875822
2024-11-13,18.5,84.5,,31.318155
2024-11-13,18.5,85.5,,
2024-11-13,18.5,86.5,,
2024-11-13,18.5,87.5,,
2024-11-13,19.5,81.5,0.0,31.178637
2024-11-13,19.5,82.5,0.0,30.230255
2024-11-13,19.5,83.5,0.0,31.00462
2024-11-13,19.5,84.5,0.0,31.061466
2024-11-13,19.5,85.5,,30.924002
2024-11-13,19.5,86.5,,
2024-11-13,19.5,87.5,,
2024-11-13,20.5,81.5,0.0,30.252518
2024-11-13,20.5,82.5,0.0,31.112127
2024-11-13,20.5,83.5,0.0,31.227077
2024-11-13,20.5,84.5,0.0,31.046083
2024-11-13,20.5,85.5,0.0,30.74619
2024-11-13,20.5,86.5,0.0,30.770819
2024-11-13,20.5,87.5,,
2024-11-13,21.5,81.5,0.0,30.740055
2024-11-13,21.5,82.5,0.0,31.151642
2024-11-13,21.5,83.5,0.0,30.907402
2024-11-13,21.5,84.5,0.0,30.722103
2024-11-13,21.5,85.5,0.0,30.931524
2024-11-13,21.5,86.5,0.0,30.666098
2024-11-13,21.5,87.5,,30.307043
2024-11-13,22.5,81.5,0.0,30.273466
2024-11-13,22.5,82.5,0.0,30.69952
2024-11-13,22.5,83.5,0.0,30.447962
2024-11-13,22.5,84.5,0.0,30.310259
2024-11-13,22.5,85.5,0.0,30.508148
2024-11-13,22.5,86.5,0.0,30.085255
2024-11-13,22.5,87.5,0.0,29.644327
2024-11-14,17.5,81.5,0.16323005,31.240118
2024-11-14,17.5,82.5,0.0,31.107948
2024-11-14,17.5,83.5,,30.847994
2024-11-14,17.5,84.5,,
2024-11-14,17.5,85.5,,
2024-11-14,17.5,86.5,,
2024-11-14,17.5,87.5,,
2024-11-14,18.5,81.5,0.0,31.269667
2024-11-14,18.5,82.5,0.0,30.857035
